"achievement.agent.common1.title" :"任务卷王",
"achievement.effacer.common2.flavor":"我正在做任务，突然看到一把斧子飘在空中！——来自报告者的自述。",

"achievement.effacer.common3.title":"无处躲藏",
"achievement.effacer.common3.goal":"击杀被擦除的船员。",
"achievement.effacer.common3.cond":"",
"achievement.effacer.common3.flavor":"请解释一下怎么突然出现一个尸体？——来自观看监控的船员的问题。",

"achievement.effacer.common4.title":"最佳配合",
"achievement.effacer.common4.goal":"让被隐身的队友击杀其他带刀职业。",
"achievement.effacer.common4.cond":"",
"achievement.effacer.common4.flavor":"你以为你很强？——来自尸体上的血字。",

"achievement.effacer.challenge.title":"无人区",
"achievement.effacer.challenge.goal":"除自身以外的伪装者全部存活。",
"achievement.effacer.challenge.cond":"提示：至少所有人都被隐身过。",
"achievement.effacer.challenge.flavor":"怎么只有我一个人，其他人呢？——来自飞艇管理者的疑惑。",

"achievement.evilTracker.common1.title":"监视者",
"achievement.evilTracker.common1.goal":"监测一次玩家的任务情况。",
"achievement.evilTracker.common1.cond":"",

"achievement.evilTracker.another1.title":"了无音信",
"achievement.evilTracker.another1.goal":"在存活时追踪的玩家死亡。",
"achievement.evilTracker.another1.cond":"",
"achievement.evilTracker.another1.flavor":"对追踪系统有疑问，请联系我们的工程师！——来自追踪终端的客服。",

"achievement.evilTracker.challenge.title":"跟踪狂",
"achievement.evilTracker.challenge.goal":"追踪剩余3个以下任务数的玩家，并在其做任务期间杀掉他。",
"achievement.evilTracker.challenge.cond":"",

"achievement.evilTrapper.common1.title":"你超速了",
"achievement.evilTrapper.common1.goal":"放置一个减速陷阱。",
"achievement.evilTrapper.common1.cond":"",

"achievement.evilTrapper.challenge.title":"精致的陷阱",
"achievement.evilTrapper.challenge.goal":"使用杀戮陷阱杀死两名玩家，并活到胜利。",
"achievement.evilTrapper.challenge.cond":"",

"achievement.gimlet.common1.title":"意外工伤",
"achievement.gimlet.common1.goal":"通过钻头击杀玩家。",
"achievement.gimlet.common1.cond":"",

"achievement.gimlet.common3.title":"谨慎而行",
"achievement.gimlet.common3.goal":"贴着墙壁5秒以上并钻死2人以上。",
"achievement.gimlet.common3.cond":"",

"achievement.gimlet.another1.title":"鲁莽冲撞",
"achievement.gimlet.another1.goal":"使用钻头后没有击杀任何人。",
"achievement.gimlet.another1.cond":"",

"achievement.gimlet.another2.title":"安全第一",
"achievement.gimlet.another2.goal":"首次变身成为钻头进入会议中被赌杀或驱逐。",
"achievement.gimlet.another2.cond":"",
"achievement.gimlet.another2.flavor":"你这什么工具？",

"achievement.gimlet.common2.title":"视野盲区",
"achievement.gimlet.common2.goal":"单次技能期间钻死4人以上。",
"achievement.gimlet.common2.cond":"",
"achievement.gimlet.common2.flavor":"我们都在努力的活着！",

"achievement.gimlet.challenge.title":"无敌破坏王",
"achievement.gimlet.challenge.goal":"使用钻头钻死4人以上，并且最后钻死的是正在修复破坏的玩家，通过破坏获胜。",
"achievement.gimlet.challenge.cond":"提示：必须在玩家开始修复破坏的10秒后。",
"achievement.gimlet.challenge.flavor":"",

"achievement.hadar.common1.title":"来自地底的杀意",
"achievement.hadar.common1.goal":"取消遁地后，在8秒内进行击杀。",
"achievement.hadar.common1.cond":"",

"achievement.hadar.common2.title":"超级矿工",
"achievement.hadar.common2.goal":"击杀后8秒内遁地。",
"achievement.hadar.common2.cond":""

"achievement.mayor.common1.goal":"使用自己的能力将其他玩家票出。",
"achievement.mayor.common1.cond":"提示：必须是自己票的玩家",
"achievement.mayor.common1.flavor":"我说的才算！——来自独裁者的发言。",

"achievement.mayor.another1.title":"白忙活",
"achievement.mayor.another1.goal":"没有投出一票的情况下死亡。",
"achievement.mayor.another1.cond":"提示：3次会议以上",

"achievement.mayor.common2.title":"隐藏实力",
"achievement.mayor.common2.goal":"从开局第一次会议开始计算，连续3次会议只投1票。",
"achievement.mayor.common2.cond":"提示：隐藏能力后，用能力放逐一名玩家。",

"achievement.mayor.challenge.title":"谨慎市长",
"achievement.mayor.challenge.goal":"仅用自己的选票将一名非船员的玩家放逐。",
"achievement.mayor.challenge.cond":"提示：小丑不算",
"achievement.mayor.challenge.flavor":"谨慎才能干大事！",

"achievement.navvy.common1.title":"强力封贴",
"achievement.navvy.common1.goal":"使用10次封锁。",
"achievement.navvy.common1.cond":"",
"achievement.navvy.common1.flavor":"这玩意真能贴住吗？",

"achievement.navvy.common2.title":"黏黏烦人",
"achievement.navvy.common2.goal":"去除5次胶带。",
"achievement.navvy.common2.cond":"",

"achievement.navvy.challenge.title":"保持通畅",
"achievement.navvy.challenge.goal":"封锁房间所有的门。",
"achievement.navvy.challenge.cond":"提示：这个房间必须拥有2个以上的门。",
"achievement.navvy.challenge.flavor":"我不是关门了吗？？？—一位愤怒的伪装者",

"achievement.necromancer.common1.title":"亡者归来",
"achievement.necromancer.common1.goal":"复活一名玩家。",
"achievement.necromancer.common1.cond":"",
"achievement.necromancer.common1.flavor":"还没到你退场的时候。——来自一位神秘的法师。",

"achievement.necromancer.another2.title":"没有奇迹",
"achievement.necromancer.another2.goal":"在拖动尸体的过程中被击杀。",
"achievement.necromancer.another2.cond":"",
"achievement.necromancer.another2.flavor":"人固有一死，或重于泰山，或轻于鸿毛——汉 · 司马迁",

"achievement.necromancer.another.title":"通灵事故",
"achievement.necromancer.another.goal":"复活一个非船员阵营玩家。",
"achievement.necromancer.another.cond":"",

"achievement.necromancer.challenge.title":"轮回",
"achievement.necromancer.challenge.goal":"在一局游戏中让同一名玩家复活两次。",
"achievement.necromancer.challenge.cond":"",
"achievement.necromancer.challenge.flavor":"无法结束的噩梦。——来自重生者。",

"achievement.niceTrapper.common1.title":"仁慈陷阱",
"achievement.niceTrapper.common1.goal":"放置一个加速陷阱。",
"achievement.niceTrapper.common1.cond":"",

"achievement.niceTrapper.challenge.title":"名侦探",
"achievement.niceTrapper.challenge.goal":"通过信号陷阱获得8个人的动向。",
"achievement.niceTrapper.challenge.cond":"提示：每次会议结束，都会重置人数",
"achievement.niceTrapper.challenge.flavor":"你们都很可疑！——来自会议记录。",

"achievement.noisemaker.common1.title":"神经过敏",
"achievement.noisemaker.common1.goal":"死亡后触发技能。",
"achievement.noisemaker.common1.cond":"",
"achievement.noisemaker.common1.flavor":"在死亡之后的警示他人——《飞船安全法则》节选",

"achievement.noisemaker.challenge.title":"苦肉计",
"achievement.noisemaker.challenge.goal":"被击杀后，击杀者在会议中被驱逐。",
"achievement.noisemaker.challenge.cond":"",

"achievement.oracle.common1.title":"星语者",
"achievement.oracle.common1.goal":"使用10次观测。",
"achievement.oracle.common1.cond":"",

"achievement.oracle.another1.title":"私心",
"achievement.oracle.another1.goal":"驱逐或误赌一名观测过的船员。",
"achievement.oracle.another1.cond":"",

"achievement.oracle.challenge.title":"观星术",
"achievement.oracle.challenge.goal":"观测过的伪装者中至少有1名船员结果中有伪装者，<br>且不驱逐一个船员（不含叛徒）的情况下获胜。",
"achievement.oracle.challenge.cond":"",

"achievement.phosphorus.common1.title":"夜空中最亮的星",
"achievement.phosphorus.common1.goal":"放置3个的提灯。",
"achievement.phosphorus.common1.cond":"",

"achievement.phosphorus.common2.title":"光芒万丈",
"achievement.phosphorus.common2.goal":"放置20个提灯。",
"achievement.phosphorus.common2.cond":"",

"achievement.phosphorus.challenge.title":"来自火柴的温度",
"achievement.phosphorus.challenge.goal":"用提灯照亮尸体。",
"achievement.phosphorus.challenge.cond":"",

"achievement.provocateur.common1.title":"尔虞我诈",
"achievement.provocateur.common1.goal":"被放逐时，随机带走一名玩家。",
"achievement.provocateur.common1.cond":"",

"achievement.provocateur.common2.title":"罪有应得",
"achievement.provocateur.common2.goal":"使用挑衅成功带走一名敌人。",
"achievement.provocateur.common2.cond":"",

"achievement.provocateur.challenge.title":"这就是第六感",
"achievement.provocateur.challenge.goal":"技能期间将10米以外的强盗或者狙击手连带死亡。",
"achievement.provocateur.challenge.cond":"",
"achievement.provocateur.challenge.flavor":"強い怨念はときに空間を伝播する。これは実に馬鹿げた仮説である。——理論物理学の実験ノート",

"achievement.psychic.common1.title":"亡者之声",
"achievement.psychic.common1.goal":"进行一次通灵。",
"achievement.psychic.common1.cond":"",

"record.psychic.common2.elapsedTime":"死亡经过时间",
"record.psychic.common2.killersColor":"击杀者颜色深浅",
"record.psychic.common2.killersRole":"击杀者职业",
"record.psychic.common2.killerIsDead":"击杀者已经死亡",
"record.psychic.common2.myRole":"被杀者职业",
"record.psychic.common2.myState":"死因",

"achievement.psychic.common2.title":"资深灵媒",
"achievement.psychic.common2.goal":"获取所有的通灵信息。",
"achievement.psychic.common2.cond":"",

"achievement.psychic.challenge.title":"人道关怀",
"achievement.psychic.challenge.goal":"对已经死亡20秒以上的尸体进行通灵，并准确驱逐或赌杀。",
"achievement.psychic.challenge.cond":"",
"achievement.psychic.challenge.flavor":"虽然无力回天，但仍为你伸张正义。",

"achievement.seer.common1.title":"无法逃逸的灵魂",
"achievement.seer.common1.goal":"靠近亡者的灵魂。",
"achievement.seer.common1.cond":"",

"achievement.seer.another1.title":"观察者",
"achievement.seer.another1.goal":"第一个被击杀。",
"achievement.seer.another1.cond":"",

"achievement.seer.challenge2.title":"唯一的真理",
"achievement.seer.challenge2.goal":"在所有人都投票的情况下，只有自己投给非船员阵营。",
"achievement.seer.challenge2.cond":"提示：弃票、不投票都不算，必须要连续三回合以上。",

"achievement.sheriff.common1.title":"正直警长",
"achievement.sheriff.common1.goal":"成功执法。",
"achievement.sheriff.common1.cond":"",

"achievement.sheriff.another1.title":"美国警长",
"achievement.sheriff.another1.goal":"执法失败。",
"achievement.sheriff.another1.cond":"",
"achievement.sheriff.another1.flavor":"嗨，我让你举起手！——来自一段执法记录仪",

"achievement.sheriff.another2.title":"无能警官",
"achievement.sheriff.another2.goal":"不执法并活到最后胜利。",
"achievement.sheriff.another2.cond":"",

"achievement.sheriff.another3.title":"没有信誉",
"achievement.sheriff.another3.goal":"执法后报告并被指控驱逐",
"achievement.sheriff.another3.cond":"",
"achievement.sheriff.another3.flavor":"你已经没有任何信誉可言！—来自船员们的唏嘘。",

"achievement.sheriff.common2.title":"从不记仇",
"achievement.sheriff.common2.goal":"成功执法一名在会议中投给警长的玩家。",
"achievement.sheriff.common2.cond":"",

"achievement.sheriff.challenge.title":"完美执法者",
"achievement.sheriff.challenge.goal":"用自己的能力淘汰敌人。",
"achievement.sheriff.challenge.cond":"提示：击杀2名以上的敌人。",

"achievement.ubiquitous.common1.title":"拆锁匠",
"achievement.ubiquitous.common1.goal":"在一局游戏中打开5次门。",
"achievement.ubiquitous.common1.cond":"",

"achievement.ubiquitous.common2.title":"拆锁专家",
"achievement.ubiquitous.common2.goal":"总计打开20次门。",
"achievement.ubiquitous.common2.cond":"",
"achievement.ubiquitous.common2.flavor":"你是怎么做到的？<br>用一点点黑客的能力。",

"achievement.ubiquitous.challenge.title":"超级监控网络",
"achievement.ubiquitous.challenge.goal":"在地图上确认所有存活玩家的位置。",
"achievement.ubiquitous.challenge.cond":"提示：除自身以外10人以上+检测范围3米以内",

"achievement.alien.common1.title":"外星礼品",
"achievement.alien.common1.goal":"E.M.I.技能期间击杀一人。",
"achievement.alien.common1.cond":"",
"achievement.alien.common1.flavor":"@#>><:":@#$%?——来自一个外星人的询问。",

"achievement.alien.common2.title":"躲猫猫",
"achievement.alien.common2.goal":"总计10次将玩家从管理室地图上抹去。",
"achievement.alien.common2.cond":"",
"achievement.alien.common2.flavor":"我真的在那里！——来自会议记录。",

"achievement.alien.common3.title":"好邻居",
"achievement.alien.common3.goal":"通过E.M.I.技能以掩盖队友的击杀。",
"achievement.alien.common3.cond":"",
"achievement.alien.common3.flavor":"那里怎么会有尸体？——来自会议记录。",

"achievement.alien.common4.title":"抹去你一切痕迹",
"achievement.alien.common4.goal":"杀死一名在管理面板被抹去的玩家。",
"achievement.alien.common4.cond":"",
"achievement.alien.common4.flavor":"到底去哪里了？",

"achievement.alien.challenge.title":"异星侵略者",
"achievement.alien.challenge.goal":"通过E.M.I.技能隐藏5次击杀。",
"achievement.alien.challenge.cond":"提示：自身击杀3名玩家以上",
"achievement.alien.challenge.flavor":"所以他们都已经死了吗？——来自被追入绝境的船员。",

"achievement.berserker.common1.title":"红温",
"achievement.berserker.common1.goal":"使用一次暴怒能力。",
"achievement.berserker.common1.cond":"",

"achievement.berserker.common2.title":"无尽怒火",
"achievement.berserker.common2.goal":"累计使用10次以上个暴怒。",
"achievement.berserker.common2.cond":"",

"achievement.berserker.common3.title":"过度劳累之后…",
"achievement.berserker.common3.goal":"击杀一名玩家后使用镇静能力。",
"achievement.berserker.common3.cond":"",

"achievement.berserker.another1.title":"临死前的怒火",
"achievement.berserker.another1.goal":"使用暴怒能力后在会议期间被驱逐或赌杀。",
"achievement.berserker.another1.cond":"",

"achievement.berserker.another2.title":"嗜血野兽",
"achievement.berserker.another2.goal":"在忘我状态下击杀一名伪装者。",
"achievement.berserker.another2.cond":"",

"achievement.berserker.common4.title":"怒火未消",
"achievement.berserker.common4.goal":"在暴怒状态下击杀玩家并活到会议结束",
"achievement.berserker.common4.cond":"",

"achievement.berserker.challenge.title":"无人可挡",
"achievement.berserker.challenge.goal":"使用暴怒能力后，在20秒内击杀3名玩家并存活到最后胜利。",
"achievement.berserker.challenge.cond":"",

"achievement.bountyHunter.common1.title":"专业的事交给专业的人",
"achievement.bountyHunter.common1.goal":"成功击杀赏金目标。",
"achievement.bountyHunter.common1.cond":"",

"achievement.bountyHunter.another1.title":"专业人士也有失误",
"achievement.bountyHunter.another1.goal":"击杀除赏金以外的目标。",
"achievement.bountyHunter.another1.cond":"",

"achievement.bountyHunter.challenge.title":"专业赏金杀手",
"achievement.bountyHunter.challenge.goal":"30秒内杀死3个玩家。",
"achievement.bountyHunter.challenge.cond":"",

"achievement.bubblegun.common1.title":"抓到了！",
"achievement.bubblegun.common1.goal":"用泡泡捕捉一个玩家。",
"achievement.bubblegun.common1.cond":"",

"achievement.bubblegun.another1.title":"破碎的泡泡",
"achievement.bubblegun.another1.goal":"使用泡泡枪后，在下轮会议中被赌杀或者驱逐。",
"achievement.bubblegun.another1.cond":"",
"achievement.bubblegun.another1.flavor":"终有消散时。",

"achievement.bubblegun.challenge.title":"泡泡危机",
"achievement.bubblegun.challenge.goal":"向右上方发生一个泡泡，并在破裂前使3名以上玩家困住。",
"achievement.bubblegun.challenge.cond":"",
"achievement.bubblegun.challenge.flavor":"这是什么东西那么漂亮？——来自好奇者。",

"achievement.camouflager.common1.title":"谁在那？",
"achievement.camouflager.common1.goal":"使用一次技能。",
"achievement.camouflager.common1.cond":"",

"achievement.camouflager.challenge.title":"恐惧就在你们身边",
"achievement.camouflager.challenge.goal":"在技能期间，出现4次以上的凶案。",
"achievement.camouflager.challenge.cond":"",
"achievement.camouflager.challenge.flavor":"人群也充满危险！——没有署名的纸条。",

"achievement.cannon.common3.title":"让你飞起来！",
"achievement.cannon.common3.goal":"发射空气炮。",
"achievement.cannon.common3.cond":"",

"achievement.cannon.common1.title":"注意头顶！",
"achievement.cannon.common1.goal":"在吹飞之后落地并击杀一名玩家。",
"achievement.cannon.common1.cond":"提示：落地后在3秒内成功击杀一名玩家。",

"achievement.cannon.common2.title":"散射！",
"achievement.cannon.common2.goal":"用空气炮吹飞其他玩家。",
"achievement.cannon.common2.cond":"提示：吹飞5人和除自己以外的1名以上的伪装者。",

"achievement.cannon.another1.title":"哑炮",
"achievement.cannon.another1.goal":"没有人被空气炮吹飞。",
"achievement.cannon.another1.cond":"",

"achievement.cannon.another2.title":"上天去吧！",
"achievement.cannon.another2.goal":"在船员做任务的过程中将其吹飞10米以上的距离。",
"achievement.cannon.another2.cond":"",

"achievement.cannon.challenge.title":"飞行事故",
"achievement.cannon.challenge.goal":"所有在本回合内吹飞的玩家由不同原因在此回合死亡。",
"achievement.cannon.challenge.cond":"提示：至少击飞3个人，会议驱逐、连带也计入。",

"achievement.cleaner.common1.title":"干干净净",
"achievement.cleaner.common1.goal":"清理一次尸体。",
"achievement.cleaner.common1.cond":"",

"achievement.cleaner.common2.title":"自我清理",
"achievement.cleaner.common2.goal":"清理自己击杀产生的尸体。",
"achievement.cleaner.common2.cond":"",

"achievement.cleaner.challenge.title":"捉摸不透的会议",
"achievement.cleaner.challenge.goal":"在发动会议之前清理两个以上的尸体。",
"achievement.cleaner.challenge.cond":"",

"achievement.cupid.common1.title":"异地恋",
"achievement.cupid.common1.goal":"让相差30米的恋人显现红线。",
"achievement.cupid.common1.cond":"",

"achievement.combination.2.cupid.lover.common1.title":"血红色的羁绊",
"achievement.combination.2.cupid.lover.common1.goal":"作为月老撮合一对恋人，然后通过红线击杀2人以上并以恋人阵营胜利。",
"achievement.combination.2.cupid.lover.common1.cond":"",

"achievement.cupid.another1.title":"这不对吧",
"achievement.cupid.another1.goal":"触碰到自己撮合的恋人产生的红线导致死亡。",
"achievement.cupid.another1.cond":"",

"achievement.cupid.challenge.title":"至痴情者",
"achievement.cupid.challenge.goal":"作为月老撮合一对恋人，然后通过红线击杀5人以上，<br>之后通过某些手段除掉恋人并以伪装者阵营胜利。",
"achievement.cupid.challenge.cond":"",
"achievement.cupid.challenge.flavor":"痴情的恋人啊，在等来世吧！",

"achievement.destroyer.common1.title":"禁忌之力",
"achievement.destroyer.common1.goal":"使用一次特殊击杀。",
"achievement.destroyer.common1.cond":"",

"achievement.destroyer.common2.title":"碾压一切！",
"achievement.destroyer.common2.goal":"使用10次特殊击杀",
"achievement.destroyer.common2.cond":"",

"achievement.destroyer.another1.title":"趁虚而入",
"achievement.destroyer.another1.goal":"在进行击杀的过程中被报告.",
"achievement.destroyer.another1.cond":"",

"achievement.destroyer.challenge.title":"法外狂徒",
"achievement.destroyer.challenge.goal":"在同一场游戏中杀死3个玩家并胜利。",
"achievement.destroyer.challenge.cond":"",
"achievement.destroyer.challenge.flavor":"这似乎是一个处刑场。——来自探险者的阐述。",

"achievement.disturber.common1.title":"禁止通行",
"achievement.disturber.common1.goal":"使用干扰技能。",
"achievement.disturber.common1.cond":"",

"achievement.disturber.common2.title":"封锁区域",
"achievement.disturber.common2.goal":"连接6根杆子并使用干扰技能。",
"achievement.disturber.common2.cond":"",

"achievement.disturber.challenge.title":"超长干扰",
"achievement.disturber.challenge.goal":"通过干扰杆导致电力/通讯破坏超过40秒未被修复<br>导致期间3人死亡。",
"achievement.disturber.challenge.cond":"提示：夸会议重置时间。",
"achievement.disturber.challenge.flavor":"在修复破坏之前，还需检修一下。",

"achievement.effacer.common1.title":"橡皮擦",
"achievement.effacer.common1.goal":"让玩家隐身。",
"achievement.effacer.common1.cond":"",
"achievement.effacer.common1.flavor":"你从哪里来的？——来自会议记录。",

"achievement.effacer.common2.title":"隐形刺客",
"achievement.effacer.common2.goal":"让伪装者队友隐身。",
"achievement.effacer.common2.cond":"",
"achievement.effacer.common2.flavor":"我正在做任务，突然看到一把斧子飘在空中！——来自报告者的自述。",

"achievement.effacer.common3.title":"无处躲藏",
"achievement.effacer.common3.goal":"击杀被擦除的船员。",
"achievement.effacer.common3.cond":"",
"achievement.effacer.common3.flavor":"请解释一下怎么突然出现一个尸体？——来自观看监控的船员的问题。",

"achievement.effacer.common4.title":"最佳配合",
"achievement.effacer.common4.goal":"让被隐身的队友击杀其他带刀职业。",
"achievement.effacer.common4.cond":"",
"achievement.effacer.common4.flavor":"你以为你很强？——来自尸体上的血字。",

"achievement.effacer.challenge.title":"无人区",
"achievement.effacer.challenge.goal":"除自身以外的伪装者全部存活。",
"achievement.effacer.challenge.cond":"提示：至少所有人都被隐身过。",
"achievement.effacer.challenge.flavor":"怎么只有我一个人，其他人呢？——来自飞艇管理者的疑惑。",

"achievement.evilTracker.common1.title":"监视者",
"achievement.evilTracker.common1.goal":"监测一次玩家的任务情况。",
"achievement.evilTracker.common1.cond":"",

"achievement.evilTracker.another1.title":"了无音信",
"achievement.evilTracker.another1.goal":"在存活时追踪的玩家死亡。",
"achievement.evilTracker.another1.cond":"",
"achievement.evilTracker.another1.flavor":"对追踪系统有疑问，请联系我们的工程师！——来自追踪终端的客服。",

"achievement.evilTracker.challenge.title":"跟踪狂",
"achievement.evilTracker.challenge.goal":"追踪剩余3个以下任务数的玩家，并在其做任务期间杀掉他。",
"achievement.evilTracker.challenge.cond":"",

"achievement.evilTrapper.common1.title":"你超速了",
"achievement.evilTrapper.common1.goal":"放置一个减速陷阱。",
"achievement.evilTrapper.common1.cond":"",

"achievement.evilTrapper.challenge.title":"精致的陷阱",
"achievement.evilTrapper.challenge.goal":"使用杀戮陷阱杀死两名玩家，并活到胜利。",
"achievement.evilTrapper.challenge.cond":"",

"achievement.gimlet.common1.title":"意外工伤",
"achievement.gimlet.common1.goal":"通过钻头击杀玩家。",
"achievement.gimlet.common1.cond":"",

"achievement.gimlet.common3.title":"谨慎而行",
"achievement.gimlet.common3.goal":"贴着墙壁5秒以上并钻死2人以上。",
"achievement.gimlet.common3.cond":"",

"achievement.gimlet.another1.title":"鲁莽冲撞",
"achievement.gimlet.another1.goal":"使用钻头后没有击杀任何人。",
"achievement.gimlet.another1.cond":"",

"achievement.gimlet.another2.title":"安全第一",
"achievement.gimlet.another2.goal":"首次变身成为钻头进入会议中被赌杀或驱逐。",
"achievement.gimlet.another2.cond":"",
"achievement.gimlet.another2.flavor":"你这什么工具？",

"achievement.gimlet.common2.title":"视野盲区",
"achievement.gimlet.common2.goal":"单次技能期间钻死4人以上。",
"achievement.gimlet.common2.cond":"",
"achievement.gimlet.common2.flavor":"我们都在努力的活着！",

"achievement.gimlet.challenge.title":"无敌破坏王",
"achievement.gimlet.challenge.goal":"使用钻头钻死4人以上，并且最后钻死的是正在修复破坏的玩家，通过破坏获胜。",
"achievement.gimlet.challenge.cond":"提示：必须在玩家开始修复破坏的10秒后。",
"achievement.gimlet.challenge.flavor":"",

"achievement.hadar.common1.title":"来自地底的杀意",
"achievement.hadar.common1.goal":"取消遁地后，在8秒内进行击杀。",
"achievement.hadar.common1.cond":"",

"achievement.hadar.common2.title":"超级矿工",
"achievement.hadar.common2.goal":"击杀后8秒内遁地。",
"achievement.hadar.common2.cond":""
"achievement.hadar.common3.title":"地鼠达人",
"achievement.hadar.common3.goal":"遁地蹦跶满10次，地鼠也要休息！",
"achievement.hadar.common3.cond":"",

"achievement.hadar.another1.title":"戏精上身",
"achievement.hadar.another1.goal":"遁地后还在会上被揪出来或赌出局。",
"achievement.hadar.another1.cond":"",

"achievement.hadar.common4.title":"惊不惊喜？",
"achievement.hadar.common4.goal":"在活人眼皮底下突然冒头。",
"achievement.hadar.common4.cond":"",

"achievement.hadar.common5.title":"挖矿进行时",
"achievement.hadar.common5.goal":"遁地状态下狂奔30米，矿工精神！",
"achievement.hadar.common5.cond":"",

"achievement.hadar.challenge.title":"地鼠之王",
"achievement.hadar.challenge.goal":"一局遁地50秒，干掉3人，还能笑到最后。",
"achievement.hadar.challenge.cond":"",

"achievement.illusioner.common1.title":"变脸大师",
"achievement.illusioner.common1.goal":"变脸+换装，一次搞定。",
"achievement.illusioner.common1.cond":"",

"achievement.illusioner.challenge.title":"真假难辨",
"achievement.illusioner.challenge.goal":"会上成功把变脸或换装的人投出去，至少一个。",
"achievement.illusioner.challenge.cond":"",

"achievement.jailer.common1.title":"掌控全局",
"achievement.jailer.common1.goal":"打开一次主控台，掌控感拉满。",
"achievement.jailer.common1.cond":"",

"achievement.jailer.common2.title":"尸体守护者",
"achievement.jailer.common2.goal":"在尸体旁站岗10秒，敬业！",
"achievement.jailer.common2.cond":"",

"achievement.jailer.challenge.title":"完美隐身",
"achievement.jailer.challenge.goal":"尸体在房间里，至少两人没发现。",
"achievement.jailer.challenge.cond":"",
"achievement.jailer.challenge.flavor":"“你们说没看见尸体？”——会议纪要。",

"achievement.marionette.common1.title":"木偶戏开场",
"achievement.marionette.common1.goal":"放一个木偶人，戏精附体。",
"achievement.marionette.common1.cond":"",

"achievement.marionette.another1.title":"穿帮现场",
"achievement.marionette.another1.goal":"换位时被抓包，然后被投出去。",
"achievement.marionette.another1.cond":"",

"achievement.marionette.common2.title":"闪现达人",
"achievement.marionette.common2.goal":"10秒内换两次位，快如闪电。",
"achievement.marionette.common2.cond":"",

"achievement.marionette.challenge.title":"木偶血祭",
"achievement.marionette.challenge.goal":"杀人后和30米外的木偶换位，神操作！",
"achievement.marionette.challenge.cond":"",

"achievement.morphing.common1.title":"变身秀",
"achievement.morphing.common1.goal":"取样+变身，模仿大师也能拿！",
"achievement.morphing.common1.cond":"提示：模仿大师也可以获取该成就！",

"achievement.morphing.another1.title":"取代计划",
"achievement.morphing.another1.goal":"干掉你取样的目标。",
"achievement.morphing.another1.cond":"",

"achievement.morphing.another2.title":"镜子魔法",
"achievement.morphing.another2.goal":"在取样对象面前变身，贴脸操作！",
"achievement.morphing.another2.cond":"",
"achievement.morphing.another2.flavor":"“什么情况？”——监控管理者懵了。",

"achievement.morphing.challenge.title":"嫁祸高手",
"achievement.morphing.challenge.goal":"变身状态下杀人，会上还投了被变身者。",
"achievement.morphing.challenge.cond":"",

"achievement.nightmare.common1.title":"梦境操控者",
"achievement.nightmare.common1.goal":"发动10次夜幕，梦境主宰。",
"achievement.nightmare.common1.cond":"",

"achievement.nightmare.common2.title":"梦魇猎手",
"achievement.nightmare.common2.goal":"夜幕范围内干掉5人，噩梦成真。",
"achievement.nightmare.common2.cond":"",

"achievement.nightmare.another1.title":"梦游终结者",
"achievement.nightmare.another1.goal":"在夜幕范围内被干掉，梦醒了。",
"achievement.nightmare.another1.cond":"",

"achievement.nightmare.another2.title":"噩梦开局",
"achievement.nightmare.another2.goal":"第一次用夜幕就被投或赌杀，惨。",
"achievement.nightmare.another2.cond":"",

"achievement.nightmare.challenge.title":"深夜杀机",
"achievement.nightmare.challenge.goal":"单次夜幕让3人梦中归西。",
"achievement.nightmare.challenge.cond":"提示：梦魇也得动手。",

"achievement.painter.common1.title":"换装大师",
"achievement.painter.common1.goal":"取样+换装，模仿大师也能拿！",
"achievement.painter.common1.cond":"提示：模仿大师也可以获取该成就！",

"achievement.painter.challenge.title":"换装狂魔",
"achievement.painter.challenge.goal":"给3人以上换两次装，换装达人。",
"achievement.painter.challenge.cond":"提示：同样样本换多人不算次数。",

"achievement.quack.common1.title":"嘎嘎报警员",
"achievement.quack.common1.goal":"用生命检测器报一次尸，鸭鸭出击！",
"achievement.quack.common1.cond":"",

"achievement.quack.another1.title":"鸭鸭出局",
"achievement.quack.another1.goal":"自己开会结果被投出去，鸭鸭无语。",
"achievement.quack.another1.cond":"",

"achievement.quack.challenge.title":"鸭鸭大胜利",
"achievement.quack.challenge.goal":"自己开会投掉3人还能赢，鸭鸭传奇！",
"achievement.quack.challenge.cond":"",
"achievement.quack.challenge.flavor":"“真不怪我鸭~”",

"achievement.raider.common1.title":"斧头帮成员",
"achievement.raider.common1.goal":"用斧子成功干掉一人，斧头在手！",
"achievement.raider.common1.cond":"",

"achievement.raider.another1.title":"太嚣张了",
"achievement.raider.another1.goal":"用斧子后会上被投或赌杀，嚣张代价。",
"achievement.raider.another1.cond":"",
"achievement.raider.another1.flavor":"“被抓了还笑，真诡异”——目击者说。",

"achievement.raider.challenge.title":"飞天斧神",
"achievement.raider.challenge.goal":"一斧干掉3人以上，斧神降临！",
"achievement.raider.challenge.cond":"",
"achievement.raider.challenge.flavor":"左手酒，右手斧，跳着舞。",

"achievement.reaper.common1.title":"一条龙服务",
"achievement.reaper.common1.goal":"拖尸+进通风口，死神效率！",
"achievement.reaper.common1.cond":"",

